name,address,area,county,zip,phone,備用電話號碼
臺北市衛生局,臺北市信義區市府路1號1樓東南區,信義區,臺北市,11008,1999,02-27208889#7162
臺北市社區心理衛生中心,臺北市中正區金山南路1段5號,中正區,臺北市,10053,1999#8860,02-33936779#11
長庚醫療財團法人臺北長庚紀念醫院,臺北市松山區敦化北路199號,松山區,臺北市,10507,02-27135211,
博仁綜合醫院,臺北市松山區光復北路66-68號,松山區,臺北市,10560,02-25786677,
基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路2段424號,松山區,臺北市,10556,02-27718151#2692,
國軍松山總醫院附設民眾診療服務處,臺北市松山區健康路131號,松山區,臺北市,10581,02-27642151,
松山醫院,臺北市松山區南京東路5段324號,松山區,臺北市,10569,02-27616534,
培靈醫院,臺北市松山區八德路4段355號,松山區,臺北市,10565,02-27606116,
國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路4段280號,大安區,臺北市,10630,02-27082121,
宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路4段71巷1號,大安區,臺北市,10688,02-7713161#163,
中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路4段77號,大安區,臺北市,10691,02-27510221#3011,
臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,大同區,臺北市,10341,02-25523234#2102,
臺北市立聯合醫院松德院區,臺北市信義區松德路309號,信義區,臺北市,11080,02-27263141#2602,
臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路4段10號,大安區,臺北市,10629,02-27093600#5245,
臺北市立聯合醫院和平院區,臺北市中正區中華路2段33號,中正區,臺北市,10065,02-23889595#8431,
臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,中正區,臺北市,10078,02-23916470,
臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,士林區,臺北市,11146,02-28353456#6865,
臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,南港區,臺北市,11556,02-27861288#8762,
財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院,臺北市中山區中山北路2段92號,中山區,臺北市,10449,02-25433535#3685,
中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路2段360號,內湖區,臺北市,11449,02-27919696,
財團法人康寧醫院,臺北市內湖區成功路5段420巷26號,內湖區,臺北市,11490,02-26345500#2357,
國防醫學院三軍總醫院,臺北市內湖區成功路2段325號,內湖區,臺北市,11490,02-87923311#26000,
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,士林區,臺北市,11101,02-28332211#9460,
三軍總醫院北投分院,臺北市北投區新民路60號,北投區,臺北市,11243,02-28959808,
臺北市立關渡醫院,臺北市北投區知行路225巷12號,北投區,臺北市,11260,02-28587000#7151,
醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路125號,北投區,臺北市,11259,02-28970011,
振興醫療財團法人振興醫院,臺北市北投區振興街45號,北投區,臺北市,11220,02-28264400#3536,
行政院國軍退除役官兵輔導委員會臺北榮民總醫院,臺北市北投區石牌路2段201號,北投區,臺北市,11217,02-28757010,
臺北醫學大學附設醫院,臺北市信義區吳興街252號,信義區,臺北市,11031,02-27372181#3666,
國立臺灣大學醫學院附設醫院,臺北市中正區中山南路7號、8號,中正區,臺北市,10002,02-23123456#62381,
財團法人臺灣省私立臺北仁濟院附設仁濟醫院,臺北市萬華區廣州街200號、243號,萬華區,臺北市,10853,02-23021133,
西園醫院,臺北市萬華區西園路2段270號,萬華區,臺北市,10864,02-23076968,
臺北市立萬芳醫院,臺北市文山區興隆路3段111號,文山區,臺北市,11696,02-29307930,
臺北市立聯合醫院附設精神科門診,臺北市中正區金山南路1段5號,中正區,臺北市,10053,02-33936779,
邱楠超診所,臺北市松山區延吉街20號,松山區,臺北市,10550,02-25702296,
啟誠聯合診所,臺北市大安區和平東路2段120號,大安區,臺北市,10663,02-23784380,
林青穀家庭醫學科診所,臺北市大安區大安路1段2-1號,大安區,臺北市,10697,02-27317557,
敦南心診所,臺北市大安區樂利路109號,大安區,臺北市,10679,02-27331995,
杏語心靈診所,臺北市大安區敦化南路1段200號1206室,大安區,臺北市,10679,02-27211526,
尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路2段276號,大安區,臺北市,10662,02-23690211,
光能身心診所,臺北市大安區忠孝東路4段15號8樓,大安區,臺北市,10691,02-27214322,
康和診所,臺北市大安區忠孝東路4段216巷11弄8號,大安區,臺北市,10686,02-27523234,
昱捷診所,臺北市大安區信義路3段202號9樓之1,大安區,臺北市,10686,02-27002709,
莊凱迪診所,臺北市大安區羅斯福路3段149號3樓之1,大安區,臺北市,10686,02-23697926,
曾醫師診所,臺北市大安區延吉街233巷9號5樓,大安區,臺北市,10696,02-27092633,
台灣電力股份有限公司台電聯合診所,臺北市大安區和平東路1段76號,大安區,臺北市,10643,02-23653171,
悟安精神科診所,臺北市大安區泰順街16巷10-2號,大安區,臺北市,10648,02-23633690,
春寧診所,臺北市大同區長安西路35號2樓,大同區,臺北市,10351,02-25492000,
北安聯合診所,臺北市中山區北安路 569-3號,中山區,臺北市,10463,02-25337777,
黃偉俐診所,臺北市中山區天津街37號2樓,中山區,臺北市,10441,02-25114123,
黃雅芬兒童心智診所,臺北市中山區南京西路5之1號12樓之1,中山區,臺北市,10441,02-25675690,
慶生診所,臺北市中山區林森北路561號2樓之7,中山區,臺北市,10441,02-25983456,
會心診所,臺北市中山區雙城街19巷8號4樓之5,中山區,臺北市,10441,0952-660966,
澄心診所,臺北市中山區中山北路2段82號2樓,中山區,臺北市,10448,02-25230480,
國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路506號,內湖區,臺北市,11492,02-87972121,
夏一新精神科診所,臺北市內湖區成功路3段143號4樓,內湖區,臺北市,11460,02-87928213,
天晴診所,臺北市士林區中山北路六段292號,士林區,臺北市,11152,02-28355329,
聿康診所,臺北市信義區忠孝東路五段250號2樓,信義區,臺北市,11060,02-87867727,
松德精神科診所,臺北市信義區松德路108號,信義區,臺北市,11075,02-87894477,
佑泉診所,臺北市信義區忠孝東路5段508-4號,信義區,臺北市,11083,02-27595512,
孫睿亮醫師診所,臺北市中正區金山南路1段121號,中正區,臺北市,10056,02-23926233,
萬華身心精神科診所,臺北市萬華區和平西路3段149號,萬華區,臺北市,10855,02-23088878,
欣美精神科診所,臺北市大安區復興南路1段342號2樓之5,大安區,臺北市,10855,02-23253218,
中崙聯合診所,臺北市中山區八德路2段303號,中山區,臺北市,10492,02-27711501,
新北市衛生局,新北市板橋區英士路192-1號,板橋區,新北市,22006,02-22577155,
新北市社區心理衛生中心,新北市板橋區英士路192-1號,板橋區,新北市,22006,02-22572623,
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市板橋區南雅南路2段21號,板橋區,新北市,22060,02-89667000,
財團法人天主教耕莘醫院,新北市新店區中正路362號,新店區,新北市,23148,02-22193391,
財團法人臺灣省私立臺北仁濟院附設仁濟療養院新莊分院,新北市新莊區瓊林路100巷27號,新莊區,新北市,24263,02-22015222,
衛生福利部臺北醫院,新北市新莊區思源路127號,新莊區,新北市,24213,02-22765566,
財團法人恩主公醫院,新北市三峽區復興路399號,三峽區,新北市,23702,02-26723456,
財團法人基督長老教會馬偕紀念醫院淡水分院,新北市淡水區民生路45號,淡水區,新北市,25160,02-28094661,
國泰醫療財團法人汐止國泰綜合醫院,新北市汐止區建成路59巷2號,汐止區,新北市,22174,02-26482121,
衛生福利部八里療養院,新北市八里區華富山33號,八里區,新北市,24936,02-26101660,
財團法人天主教耕莘醫院永和分院,新北市永和區中興街80號,永和區,新北市,23445,02-29286060,
衛生福利部雙和醫院,新北市中和區中正路291號,中和區,新北市,23561,02-22490088,
宏慈療養院,新北市新店區安泰路157號,新店區,新北市,23157,02-22151177,
宏濟神經精神科醫院,新北市新店區安忠路57巷5號,新店區,新北市,23154,02-22118899,
財團法人佛教慈濟綜合醫院臺北分院,新北市新店區建國路289號,新店區,新北市,23142,02-66289779,
衛生福利部樂生療養院,新北市新莊區中正路794號,新莊區,新北市,24257,02-82006600,
名恩療養院,新北市鶯歌區鶯桃路2段62號,鶯歌區,新北市,23943,02-26701092,
靜養醫院,新北市三峽區中山路459巷92號,三峽區,新北市,23741,02-26710427,
長青醫院,新北市淡水區糞箕湖1-5號,淡水區,新北市,25163,02-86260561,
北新醫院,新北市淡水區忠寮里演戲埔腳1-2號,淡水區,新北市,25150,02-26209199,
泓安醫院,新北市淡水區下圭柔山91巷2號,淡水區,新北市,25172,02-26232681,
臺安醫院,新北市三芝區興華村楓子林路42-5號,三芝區,新北市,25243,02-26371600,
新北市立聯合醫院(三重院區),新北市三重區新北大道一段3號,三重區,新北市,24141,02-29829111,
新北市立聯合醫院(板橋院區),新北市板橋區英士路198號,板橋區,新北市,22051,02-22575151,
行政院國軍退除役官兵輔導委員會台北榮譽國民之家醫務室,新北市三峽區白雞路127號,三峽區,新北市,23742,02-26731201,
衛生福利部八里療養院附設土城門診部,新北市土城區青雲路6號,土城區,新北市,23656,02-22745250,
樂為診所,新北市板橋區漢生西路68號,板橋區,新北市,22051,02-22518068,
楊思亮診所,新北市板橋區文化路2段4號,板橋區,新北市,22041,02-82528779,
楊孟達身心精神科診所,新北市板橋區文化路1段275號,板橋區,新北市,22050,02-22555222,
家樺聯合診所,新北市板橋區雙十路2段42號,板橋區,新北市,22043,02-82523000,
心康診所,新北市板橋區中山路2段34號,板橋區,新北市,22067,02-29626888,
陳信任精神科診所,新北市三重區正義北路320號,三重區,新北市,24146,02-29871868,
美麗心成人兒童精神科診所,新北市三重區正義北路210號,三重區,新北市,24147,02-29886773,
明心診所,新北市永和區中正路748號,永和區,新北市,23448,02-29286111,
心晴診所,新北市永和區竹林路27號,永和區,新北市,23441,02-89250802,
欣康診所,新北市中和區員山路288號,中和區,新北市,23547,02-22264688,
樂活精神科診所,新北市中和區安樂路25號,中和區,新北市,23582,02-29463655,
寧靜海診所,新北市中和區永貞路239巷20號,中和區,新北市,23574,02-29212321,
賽斯身心靈診所,新北市新店區中央七街26號2樓,新店區,新北市,23150,02-22180875,
楊聰才診所,新北市新店區中興路2段239號2樓,新店區,新北市,23146,02-29181299,
永悅診所,新北市新莊區民安西路6號,新莊區,新北市,24267,02-22048782,
陳炯鳴精神科診所,新北市新莊區新泰路193號,新莊區,新北市,24242,02-22779773,
謝宏杰身心精神科診所,新北市汐止區新台五路1段232號,汐止區,新北市,22175,02-86916588,
悠活精神科診所,新北市土城區學府路1段158號,土城區,新北市,23657,02-22748877,
福和身心診所,新北市永和區福和路240號,永和區,新北市,23450,02-29291868,
壬康精神科診所,新北市蘆洲區中正路114號,蘆洲區,新北市,24758,02-82825885,
基隆市衛生局,基隆市信義區信二路266號,信義區,基隆市,20147,02-24230181,
基隆市社區心理衛生中心,基隆市安樂區安樂路2段164號5樓,安樂區,基隆市,20448,02-24300193~5,
三軍總醫院附設基隆民眾診療服務處,基隆市中正區正榮街100號,中正區,基隆市,20244,02-24633330,
長庚醫療財團法人基隆長庚紀念醫院,基隆市安樂區麥金路222號,安樂區,基隆市,20401,02-24313131,
南光神經精神科醫院,基隆市安樂區基金一路91號,安樂區,基隆市,20445,02-24310023,
衛生福利部基隆醫院,基隆市信義區信二路268號,信義區,基隆市,20147,02-24292525,
基隆市維德醫院,基隆市調和街210號,調和街,基隆市,20249,02-24696688,
宜蘭縣衛生局,宜蘭縣宜蘭市女中路2段287號,宜蘭市,宜蘭縣,26051,03-9322634　,
宜蘭縣社區心理衛生中心,宜蘭縣宜蘭市女中路2段287號,宜蘭市,宜蘭縣,26051,03-9367885,
國立陽明大學附設醫院,宜蘭縣宜蘭市新民路152號,宜蘭市,宜蘭縣,26042,03-9325192,
財團法人羅許基金會羅東博愛醫院,宜蘭縣羅東鎮南昌街83號,羅東鎮,宜蘭縣,26546,03-9543131,
財團法人天主教靈醫會羅東聖母醫院,宜蘭縣羅東鎮中正南路160號,羅東鎮,宜蘭縣,26546,03-9544106,
臺北榮民總醫院蘇澳分院,宜蘭縣蘇澳鎮蘇濱路1段301號,蘇澳鎮,宜蘭縣,27047,03-9905106,
海天醫療社團法人海天醫院,宜蘭縣壯圍鄉古亭村古亭路23-9號,壯圍鄉,宜蘭縣,26342,03-9308010,
宜蘭普門醫療財團法人普門醫院,宜蘭縣員山鄉深溝村尚深路91號,員山鄉,宜蘭縣,26443,03-9220292,
臺北榮民總醫院員山分院,宜蘭縣員山鄉榮光路386號,員山鄉,宜蘭縣,26444,03-9222141,
財團法人蘭陽仁愛醫院,宜蘭縣宜蘭市中山路2段260號,宜蘭市,宜蘭縣,26047,03-9355366,
臺北榮民總醫院員山分院附設門診部,宜蘭縣宜蘭市林森路1號,宜蘭市,宜蘭縣,26058,03-9373939,
光中身心診所,宜蘭縣宜蘭市光復路30號2樓,宜蘭市,宜蘭縣,26043,03-9312300,
平和身心診所,宜蘭縣羅東鎮光榮路409號3樓,羅東鎮,宜蘭縣,26561,03-9559960,
金門縣衛生局,金門縣金湖鎮復興路1-12號,金湖鎮,金門縣,89142,082-330697,082-333607
金門縣社區心理衛生中心,金門縣金湖鎮中正路1-1號2樓,金湖鎮,金門縣,89142,082-337885,
衛生福利部金門醫院,金門縣金湖鎮復興路2號,金湖鎮,金門縣,89148,082-332546,
連江縣衛生局,連江縣南竿鄉復興村216號,南竿鄉,連江縣,20941,083-622095,
連江縣社區心理衛生中心,連江縣南竿鄉復興村216號,南竿鄉,連江縣,20941,083-626643,
連江縣立醫院,連江縣南竿鄉復興村217號,南竿鄉,連江縣,20941,083-623991,
桃園縣衛生局,桃園縣桃園市縣府路55號,桃園市,桃園縣,33053,03-3340935,
桃園縣社區心理衛生中心,桃園縣桃園市縣府路55號,桃園市,桃園縣,33053,03-3325880,
臺北榮民總醫院桃園分院,桃園縣桃園市成功路3段100號,桃園市,桃園縣,33052,03-3384889,
衛生福利部桃園療養院,桃園縣桃園市龍壽街71號,桃園市,桃園縣,33058,03-3698553,
衛生福利部桃園醫院,桃園縣桃園市中山路1492號,桃園市,桃園縣,33004,03-3699721,
財團法人天主教聖保祿修女會醫院,桃園縣桃園市建新街123號,桃園市,桃園縣,33069,03-3613141,
敏盛綜合醫院,桃園縣桃園市經國路168號,桃園市,桃園縣,33044,03-3179599,
居善醫院,桃園縣大園鄉南港村大觀路910號,大園鄉,桃園縣,33742,03-3866511,
長庚醫療財團法人桃園長庚紀念醫院,桃園縣龜山鄉舊路村頂湖路123號,龜山鄉,桃園縣,33378,03-3196200,
長庚醫療財團法人林口長庚紀念醫院,桃園縣龜山鄉公西村復興街5號,龜山鄉,桃園縣,33305,03-3281200,
國軍桃園總醫院附設民眾診療服務處,桃園縣龍潭鄉中興路168號,龍潭鄉,桃園縣,32551,03-4897190,
壢新醫院,桃園縣平鎮市廣泰路77號,平鎮市,桃園縣,32449,03-4941234,
心寧診所,桃園縣桃園市中山路1080號,桃園市,桃園縣,33072,03-3920522,
全新精神專科診所,桃園縣桃園市春日路1311號,桃園市,桃園縣,33051,03-3586944,
安心診所,桃園縣桃園市中正路633號,桃園市,桃園縣,33047,03-3162020,
迎旭診所,桃園縣中壢市中山路38號,中壢市,桃園縣,32041,03-4277126,
陳炯旭診所,桃園縣中壢市九和五街7號,中壢市,桃園縣,32085,03-2805285,
新楊梅診所,桃園縣楊梅市環東路476號1、2樓,楊梅市,桃園縣,32645,03-4856530,
楊延壽診所,桃園縣龍潭鄉中正路298號,龍潭鄉,桃園縣,32557,03-4899242,
新竹縣衛生局,新竹縣竹北市光明七街1號,竹北市,新竹縣,30295,03-5518160,
新竹縣社區心理衛生中心,新竹縣竹北市光明七街1號,竹北市,新竹縣,30295,03-6567138,
培靈關西醫院,新竹縣關西鎮新富里11鄰石門33-1號,關西鎮,新竹縣,30647,03-5476399,
行政院國軍退除役官兵輔導委員會竹東榮民醫院,新竹縣竹東鎮中豐路1段81號,竹東鎮,新竹縣,31064,03-5962134,
國立臺灣大學醫學院附設醫院竹東分院,新竹縣竹東鎮至善路52號,竹東鎮,新竹縣,31064,03-5943248,
東元綜合醫院,新竹縣竹北市縣政二路69號,竹北市,新竹縣,30268,03-5527000,
天主教仁慈醫療財團法人仁慈醫院,新竹縣湖口鄉忠孝路29號,湖口鄉,新竹縣,30342,03-5993500,
陽光精神科診所,新竹縣竹東鎮東榮路2號,竹東鎮,新竹縣,31064,03-5942371,
台齡身心診所,新竹縣竹北市文信路376號,竹北市,新竹縣,30259,03-5586857,
安立身心診所,新竹縣竹北市莊敬北路82號,竹北市,新竹縣,30264,03-6577622,
六竹診所,新竹縣竹北市嘉豐二街1段48號,竹北市,新竹縣,30264,03-5505550,
新竹市衛生局,新竹市東區建功二路20巷1號,東區,新竹市,30070,03-5723515#233,
新竹市社區心理衛生中心,新竹市北區集賢街3號,北區,新竹市,30045,03-5234647,
南門綜合醫院,新竹市東區林森路20號,東區,新竹市,30042,03-5261122,
國泰醫療財團法人新竹國泰綜合醫院,新竹市東區中華路2段678號,東區,新竹市,30060,03-5278999,
財團法人馬偕紀念醫院新竹分院,新竹市東區光復路2段690號,東區,新竹市,30071,03-6119595,
新中興醫院,新竹市北區興南街43號,北區,新竹市,30045,03-5213163,
國軍新竹地區醫院附設民眾診療服務處,新竹市北區武陵路3號,北區,新竹市,30054,03-5348181,
行政院衛生署新竹醫院,新竹市北區經國路1段442巷25號,北區,新竹市,30059,03-5326151,
財團法人台灣省私立桃園仁愛之家附設新竹新生醫院,新竹市北區西門街120號,北區,新竹市,30045,03-5223637,
平和醫療社團法人和平醫院,新竹市北區和平路86-1號,北區,新竹市,30048,03-5260151,
林正修診所,新竹市東區新光路38號,東區,新竹市,30069,03-5166746,
能清安欣診所,新竹市東區中央路214號,東區,新竹市,30041,03-5357600,
苗栗縣衛生局,苗栗縣苗栗市國福路6號,苗栗市,苗栗縣,36059,037-336729,
苗栗縣社區心理衛生中心,苗栗縣苗栗市國福路6號,苗栗市,苗栗縣,36059,037-332565,037-332621 
大千綜合醫院,苗栗縣苗栗市恭敬路36號,苗栗市,苗栗縣,36052,037-357125,
大千綜合醫院南勢分院,苗栗縣苗栗市南勢里南勢52號,苗栗市,苗栗縣,36063,037-369936,
衛生福利部苗栗醫院,苗栗縣苗栗市為公路747號,苗栗市,苗栗縣,36054,037-261920,
弘大醫院,苗栗縣苗栗市新東街125號,苗栗市,苗栗縣,36060,037-361188,
李綜合醫療社團法人苑裡李綜合醫院,苗栗縣苑裡鎮和平路168號,苑裡鎮,苗栗縣,35845,037-862387,
財團法人為恭紀念醫院,苗栗縣頭份鎮信義路128號,頭份鎮,苗栗縣,35159,037-676811,
財團法人為恭紀念醫院東興院區,苗栗縣頭份鎮水源路417巷13號,頭份鎮,苗栗縣,35148,037-685569,
崇仁醫院,苗栗縣頭份鎮東興路110號,頭份鎮,苗栗縣,35142,037-663185,
重光醫院,苗栗縣頭份鎮中華路1039號,頭份鎮,苗栗縣,35159,037-663030,
大順醫院,苗栗縣大湖鄉中正路48-5號,大湖鄉,苗栗縣,36441,037-997666,
周博治婦產科,苗栗縣苗栗市中正路403號,苗栗市,苗栗縣,36042,037-332288,
中油台探診所,苗栗縣苗栗市中正路140號,苗栗市,苗栗縣,36043,037-261312,
益康診所,苗栗縣苗栗市中正路739號,苗栗市,苗栗縣,36050,037-378566,
天慈身心科診所,苗栗縣苑裡鎮和平路165號,苑裡鎮,苗栗縣,35845,037-865025,
宏仁診所,苗栗縣竹南鎮守法街2-13號,竹南鎮,苗栗縣,35042,037-241119,
承美身心科診所,苗栗縣頭份鎮信東路76號,頭份鎮,苗栗縣,35153,037-683748,
後龍診所,苗栗縣後龍鎮大庄里中山路123號,後龍鎮,苗栗縣,35645,037-773088,
通霄診所,苗栗縣通霄鎮中正路20-1號,通霄鎮,苗栗縣,35741,037-759889,
暘明診所,苗栗縣苑裡鎮苑南里1鄰新興路78號1樓,苑裡鎮,苗栗縣,35862,037-856581,
臺中市衛生局,臺中市豐原區中興路136號,豐原區,臺中市,42053,04-25265934,
臺中市社區心理衛生中心,臺中市豐原區瑞安街143號,豐原區,臺中市,42041,04-25155148~50,
衛生福利部豐原醫院,臺中市豐原區安康路100號,豐原區,臺中市,42055,04-25271180,
李綜合醫療社團法人大甲李綜合醫院,臺中市大甲區八德街2號,大甲區,臺中市,43748,04-26862288,
清濱醫院,臺中市清水區港埠路4段195號,清水區,臺中市,43647,04-26283995,
陽光精神科醫院,臺中市清水區東山路68之1號,清水區,臺中市,43641,04-26202949,
光田醫療社團法人光田綜合醫院,臺中市沙鹿區沙田路117號,沙鹿區,臺中市,43303,04-26625111,
童綜合醫療社團法人童綜合醫院,臺中市梧棲區中棲路1段699號,梧棲區,臺中市,43503,04-26626161,
明德醫院,臺中市梧棲區仁美街33巷50號,梧棲區,臺中市,43543,04-26579595,
財團法人佛教慈濟綜合醫院臺中分院,臺中市潭子區豐興路1段66號,潭子區,臺中市,42743,04-36060666,
清海醫院,臺中市石岡區金星里石岡街下坑巷41-2號,石岡區,臺中市,42264,04-25723332,
國軍臺中總醫院附設民眾診療服務處,臺中市太平區中山路2段348號,太平區,臺中市,41168,04-23934285,
賢德醫院,臺中市太平區宜昌路420號,太平區,臺中市,41175,04-23939995,
仁愛醫療財團法人大里仁愛醫院,臺中市大里區東榮路483號,大里區,臺中市,41265,04-24819900,
澄清綜合醫院,臺中市中區平等街139號,中區,臺中市,40045,04-24632000,
財團法人臺灣省私立臺中仁愛之家附設靜和醫院,臺中市西區吉龍里南屯路1段158號,西區,臺中市,40347,04-23711129,
衛生福利部臺中醫院,臺中市西區三民路1段199號,西區,臺中市,40343,04-22294411,
宏恩醫院龍安分院,臺中市南區德富路145巷2號,南區,臺中市,40256,04-37017188,
中山醫學大學附設醫院,臺中市南區建國北路1段110號,南區,臺中市,40201,04-24739595,
中國醫藥大學附設醫院,臺中市北區育德路2號,北區,臺中市,40447,04-22052121,
維新醫療社團法人臺中維新醫院,臺中市北區育德路185號,北區,臺中市,40442,04-22038585,
國軍臺中總醫院附設民眾診療服務處中清分院,臺中市北區忠明路500號,北區,臺中市,40466,04-22037320,
行政院國軍退除役官兵輔導委員會臺中榮民總醫院,臺中市西屯區臺中港路3段160號,西屯區,臺中市,40705,04-23592525,
澄清綜合醫院中港分院,臺中市西屯區台灣大道四段966號,西屯區,臺中市,40764,04-24632250,
林新醫療社團法人林新醫院,臺中市南屯區惠中路3段36號,南屯區,臺中市,40867,04-22586688,
世淋診所,臺中市豐原區中正路497號,豐原區,臺中市,42056,04-25207017,
林淇祥診所,臺中市豐原區圓環東路455號,豐原區,臺中市,42045,04-25289595,
慈祐聯合診所,臺中市烏日區中山路1段548號,烏日區,臺中市,41444,04-23368633,
群享診所,臺中市大里區中投西路3段215號,大里區,臺中市,41259,04-24181155,
王志中診所,臺中市大里區東榮路338號,大里區,臺中市,41265,04-24823855,
詹東霖心身診所,臺中市中區民權路122號,中區,臺中市,40041,04-22256362,
明功堂精神科診所,臺中市東區自由路3段276號,東區,臺中市,40141,04-22120083,
劉昭賢精神科診所,臺中市西區向上路1段360號,西區,臺中市,40361,04-23223123,
紓情診所,臺中市西區美村路1段743號2樓,西區,臺中市,40345,04-23723152,
游文治精神科診所,臺中市西區美村路1段223號,西區,臺中市,40351,04-23029995,
家康診所,臺中市南區文心南路923號,南區,臺中市,40256,04-22630818,
